Niveluri de educatie, Forme de proprietate , Macroregiuni  regiuni de dezvoltare si judete, Perioade, UM: Numar persoane, Valoare
In invatamantul gimnazial secundar ciclul 1, Total, Alba, Anul 2023, Numar persoane, 1121
In invatamantul gimnazial secundar ciclul 1, Total, Brasov, Anul 2023, Numar persoane, 2035
In invatamantul gimnazial secundar ciclul 1, Total, Covasna, Anul 2023, Numar persoane, 910
In invatamantul gimnazial secundar ciclul 1, Total, Harghita, Anul 2023, Numar persoane, 1442
In invatamantul gimnazial secundar ciclul 1, Total, Mures, Anul 2023, Numar persoane, 2432
In invatamantul gimnazial secundar ciclul 1, Total, Sibiu, Anul 2023, Numar persoane, 1410
In invatamantul gimnazial secundar ciclul 1, Total, Bacau, Anul 2023, Numar persoane, 2241
In invatamantul gimnazial secundar ciclul 1, Total, Botosani, Anul 2023, Numar persoane, 1546
In invatamantul gimnazial secundar ciclul 1, Total, Iasi, Anul 2023, Numar persoane, 2669
In invatamantul gimnazial secundar ciclul 1, Total, Neamt, Anul 2023, Numar persoane, 1507
In invatamantul gimnazial secundar ciclul 1, Total, Suceava, Anul 2023, Numar persoane, 2483
In invatamantul gimnazial secundar ciclul 1, Total, Vaslui, Anul 2023, Numar persoane, 1582
In invatamantul gimnazial secundar ciclul 1, Total, Braila, Anul 2023, Numar persoane, 891
In invatamantul gimnazial secundar ciclul 1, Total, Buzau, Anul 2023, Numar persoane, 1502
In invatamantul gimnazial secundar ciclul 1, Total, Constanta, Anul 2023, Numar persoane, 2369
In invatamantul gimnazial secundar ciclul 1, Total, Galati, Anul 2023, Numar persoane, 1716
In invatamantul gimnazial secundar ciclul 1, Total, Tulcea, Anul 2023, Numar persoane, 714
In invatamantul gimnazial secundar ciclul 1, Total, Vrancea, Anul 2023, Numar persoane, 1158
In invatamantul gimnazial secundar ciclul 1, Total, Arges, Anul 2023, Numar persoane, 2021
In invatamantul gimnazial secundar ciclul 1, Total, Calarasi, Anul 2023, Numar persoane, 872
In invatamantul gimnazial secundar ciclul 1, Total, Dambovita, Anul 2023, Numar persoane, 1557
In invatamantul gimnazial secundar ciclul 1, Total, Giurgiu, Anul 2023, Numar persoane, 1044
In invatamantul gimnazial secundar ciclul 1, Total, Ialomita, Anul 2023, Numar persoane, 708
In invatamantul gimnazial secundar ciclul 1, Total, Prahova, Anul 2023, Numar persoane, 2251
In invatamantul gimnazial secundar ciclul 1, Total, Teleorman, Anul 2023, Numar persoane, 1410
In invatamantul gimnazial secundar ciclul 1, Total, Ilfov, Anul 2023, Numar persoane, 1305
In invatamantul gimnazial secundar ciclul 1, Total, Municipiul Bucuresti, Anul 2023, Numar persoane, 5149
In invatamantul gimnazial secundar ciclul 1, Total, Dolj, Anul 2023, Numar persoane, 2294
In invatamantul gimnazial secundar ciclul 1, Total, Gorj, Anul 2023, Numar persoane, 1154
In invatamantul gimnazial secundar ciclul 1, Total, Mehedinti, Anul 2023, Numar persoane, 866
In invatamantul gimnazial secundar ciclul 1, Total, Olt, Anul 2023, Numar persoane, 1314
In invatamantul gimnazial secundar ciclul 1, Total, Valcea, Anul 2023, Numar persoane, 1559
In invatamantul gimnazial secundar ciclul 1, Total, Arad, Anul 2023, Numar persoane, 1388
In invatamantul gimnazial secundar ciclul 1, Total, Caras-Severin, Anul 2023, Numar persoane, 844
In invatamantul gimnazial secundar ciclul 1, Total, Hunedoara, Anul 2023, Numar persoane, 1116
In invatamantul gimnazial secundar ciclul 1, Total, Timis, Anul 2023, Numar persoane, 2403
In invatamantul liceal, Total, Bihor, Anul 2023, Numar persoane, 2696
In invatamantul liceal, Total, Bistrita-Nasaud, Anul 2023, Numar persoane, 736
In invatamantul liceal, Total, Cluj, Anul 2023, Numar persoane, 2208
In invatamantul liceal, Total, Maramures, Anul 2023, Numar persoane, 1252
In invatamantul liceal, Total, Satu Mare, Anul 2023, Numar persoane, 1008
In invatamantul liceal, Total, Salaj, Anul 2023, Numar persoane, 510
In invatamantul liceal, Total, Alba, Anul 2023, Numar persoane, 858
In invatamantul liceal, Total, Brasov, Anul 2023, Numar persoane, 1366
In invatamantul liceal, Total, Covasna, Anul 2023, Numar persoane, 626
In invatamantul liceal, Total, Harghita, Anul 2023, Numar persoane, 1176
In invatamantul liceal, Total, Mures, Anul 2023, Numar persoane, 1426
In invatamantul liceal, Total, Sibiu, Anul 2023, Numar persoane, 939
In invatamantul liceal, Total, Bacau, Anul 2023, Numar persoane, 1579
In invatamantul liceal, Total, Botosani, Anul 2023, Numar persoane, 1159
In invatamantul liceal, Total, Iasi, Anul 2023, Numar persoane, 2308
In invatamantul liceal, Total, Neamt, Anul 2023, Numar persoane, 1197
In invatamantul liceal, Total, Suceava, Anul 2023, Numar persoane, 1820
In invatamantul liceal, Total, Vaslui, Anul 2023, Numar persoane, 912
In invatamantul liceal, Total, Braila, Anul 2023, Numar persoane, 842
In invatamantul liceal, Total, Buzau, Anul 2023, Numar persoane, 898
In invatamantul liceal, Total, Constanta, Anul 2023, Numar persoane, 2010
In invatamantul liceal, Total, Galati, Anul 2023, Numar persoane, 1423
In invatamantul liceal, Total, Tulcea, Anul 2023, Numar persoane, 404
In invatamantul liceal, Total, Vrancea, Anul 2023, Numar persoane, 949
In invatamantul liceal, Total, Arges, Anul 2023, Numar persoane, 1590
In invatamantul liceal, Total, Calarasi, Anul 2023, Numar persoane, 615
In invatamantul liceal, Total, Dambovita, Anul 2023, Numar persoane, 1091
In invatamantul liceal, Total, Giurgiu, Anul 2023, Numar persoane, 370
In invatamantul liceal, Total, Ialomita, Anul 2023, Numar persoane, 431
In invatamantul liceal, Total, Prahova, Anul 2023, Numar persoane, 1791
In invatamantul liceal, Total, Teleorman, Anul 2023, Numar persoane, 639
In invatamantul liceal, Total, Ilfov, Anul 2023, Numar persoane, 495
In invatamantul liceal, Total, Municipiul Bucuresti, Anul 2023, Numar persoane, 5479
In invatamantul liceal, Total, Dolj, Anul 2023, Numar persoane, 1784
In invatamantul liceal, Total, Gorj, Anul 2023, Numar persoane, 1071
In invatamantul liceal, Total, Mehedinti, Anul 2023, Numar persoane, 800
In invatamantul liceal, Total, Olt, Anul 2023, Numar persoane, 965
In invatamantul liceal, Total, Valcea, Anul 2023, Numar persoane, 953
In invatamantul liceal, Total, Arad, Anul 2023, Numar persoane, 1110
In invatamantul liceal, Total, Caras-Severin, Anul 2023, Numar persoane, 1017
In invatamantul liceal, Total, Hunedoara, Anul 2023, Numar persoane, 1077
In invatamantul liceal, Total, Timis, Anul 2023, Numar persoane, 2109
In scoli profesionale - invatamant dual, Total, Cluj, Anul 2023, Numar persoane, 12
In scoli profesionale - invatamant dual, Total, Maramures, Anul 2023, Numar persoane, 5
In scoli profesionale - invatamant dual, Total, Satu Mare, Anul 2023, Numar persoane, 5
In scoli profesionale - invatamant dual, Total, Alba, Anul 2023, Numar persoane, 31
In scoli profesionale - invatamant dual, Total, Brasov, Anul 2023, Numar persoane, 56
In scoli profesionale - invatamant dual, Total, Ialomita, Anul 2023, Numar persoane, 3
In invatamantul postliceal si de maistri, Total, Bistrita-Nasaud, Anul 2023, Numar persoane, 4
In invatamantul postliceal si de maistri, Total, Cluj, Anul 2023, Numar persoane, 53
In invatamantul postliceal si de maistri, Total, Maramures, Anul 2023, Numar persoane, 45
In invatamantul postliceal si de maistri, Total, Satu Mare, Anul 2023, Numar persoane, 17
In invatamantul postliceal si de maistri, Total, Salaj, Anul 2023, Numar persoane, 11
In invatamantul postliceal si de maistri, Total, Alba, Anul 2023, Numar persoane, 11
In invatamantul postliceal si de maistri, Total, Brasov, Anul 2023, Numar persoane, 38
In invatamantul postliceal si de maistri, Total, Covasna, Anul 2023, Numar persoane, 1
In invatamantul postliceal si de maistri, Total, Mures, Anul 2023, Numar persoane, 55
In invatamantul postliceal si de maistri, Total, Sibiu, Anul 2023, Numar persoane, 72
In invatamantul postliceal si de maistri, Total, Bacau, Anul 2023, Numar persoane, 67
In invatamantul postliceal si de maistri, Total, Botosani, Anul 2023, Numar persoane, 38
In invatamantul postliceal si de maistri, Total, Iasi, Anul 2023, Numar persoane, 94
In invatamantul postliceal si de maistri, Total, Neamt, Anul 2023, Numar persoane, 11
In invatamantul postliceal si de maistri, Total, Suceava, Anul 2023, Numar persoane, 96
In invatamantul postliceal si de maistri, Total, Braila, Anul 2023, Numar persoane, 13
In invatamantul postliceal si de maistri, Total, Buzau, Anul 2023, Numar persoane, 50
In invatamantul postliceal si de maistri, Total, Constanta, Anul 2023, Numar persoane, 108
In invatamantul postliceal si de maistri, Total, Galati, Anul 2023, Numar persoane, 92
In invatamantul postliceal si de maistri, Total, Tulcea, Anul 2023, Numar persoane, 26
In invatamantul postliceal si de maistri, Total, Vrancea, Anul 2023, Numar persoane, 45
In invatamantul postliceal si de maistri, Total, Arges, Anul 2023, Numar persoane, 86
In invatamantul postliceal si de maistri, Total, Dambovita, Anul 2023, Numar persoane, 15
In invatamantul postliceal si de maistri, Total, Giurgiu, Anul 2023, Numar persoane, 24
In invatamantul postliceal si de maistri, Total, Ialomita, Anul 2023, Numar persoane, 5
In invatamantul postliceal si de maistri, Total, Prahova, Anul 2023, Numar persoane, 61
In invatamantul postliceal si de maistri, Total, Teleorman, Anul 2023, Numar persoane, 41
In invatamantul postliceal si de maistri, Total, Municipiul Bucuresti, Anul 2023, Numar persoane, 288
In invatamantul postliceal si de maistri, Total, Dolj, Anul 2023, Numar persoane, 113
In invatamantul postliceal si de maistri, Total, Gorj, Anul 2023, Numar persoane, 29
In invatamantul postliceal si de maistri, Total, Mehedinti, Anul 2023, Numar persoane, 33
In invatamantul postliceal si de maistri, Total, Olt, Anul 2023, Numar persoane, 77
In invatamantul postliceal si de maistri, Total, Valcea, Anul 2023, Numar persoane, 39
In invatamantul postliceal si de maistri, Total, Arad, Anul 2023, Numar persoane, 27
In invatamantul postliceal si de maistri, Total, Caras-Severin, Anul 2023, Numar persoane, 47
In invatamantul postliceal si de maistri, Total, Hunedoara, Anul 2023, Numar persoane, 41
In invatamantul postliceal si de maistri, Total, Timis, Anul 2023, Numar persoane, 38
In invatamantul universitar, Total, Bihor, Anul 2023, Numar persoane, 1055
In invatamantul universitar, Total, Cluj, Anul 2023, Numar persoane, 4099
In invatamantul universitar, Total, Maramures, Anul 2023, Numar persoane, 163
In invatamantul universitar, Total, Alba, Anul 2023, Numar persoane, 177
In invatamantul universitar, Total, Brasov, Anul 2023, Numar persoane, 722
In invatamantul universitar, Total, Mures, Anul 2023, Numar persoane, 814
In invatamantul universitar, Total, Sibiu, Anul 2023, Numar persoane, 754
In invatamantul universitar, Total, Bacau, Anul 2023, Numar persoane, 177
In invatamantul universitar, Total, Iasi, Anul 2023, Numar persoane, 2922
In invatamantul universitar, Total, Neamt, Anul 2023, Numar persoane, 10
In invatamantul universitar, Total, Suceava, Anul 2023, Numar persoane, 378
In invatamantul universitar, Total, Braila, Anul 2023, Numar persoane, 7
In invatamantul universitar, Total, Constanta, Anul 2023, Numar persoane, 883
In invatamantul universitar, Total, Galati, Anul 2023, Numar persoane, 898
In invatamantul universitar, Total, Arges, Anul 2023, Numar persoane, 33
In invatamantul universitar, Total, Dambovita, Anul 2023, Numar persoane, 241
In invatamantul universitar, Total, Prahova, Anul 2023, Numar persoane, 207
In invatamantul universitar, Total, Ilfov, Anul 2023, Numar persoane, 16
In invatamantul universitar, Total, Municipiul Bucuresti, Anul 2023, Numar persoane, 8678
In invatamantul universitar, Total, Dolj, Anul 2023, Numar persoane, 1219
In invatamantul universitar, Total, Gorj, Anul 2023, Numar persoane, 130
In invatamantul universitar, Total, Valcea, Anul 2023, Numar persoane, 19
In invatamantul universitar, Total, Arad, Anul 2023, Numar persoane, 524
In invatamantul universitar, Total, Hunedoara, Anul 2023, Numar persoane, 138
In invatamantul universitar, Total, Timis, Anul 2023, Numar persoane, 2659
